URL, ping-pong, racket, tennis
https://en.wikipedia.org/wiki/USA_Table_Tennis, 1, 0, 68
https://en.wikipedia.org/wiki/Kong_Linghui, 0, 0, 40
https://en.wikipedia.org/wiki/Major_achievements_in_table_tennis_by_nation, 0, 0, 39
https://en.wikipedia.org/wiki/Table_tennis_racket, 0, 16, 19
https://simple.wikipedia.org/wiki/Table_tennis, 3, 2, 27
https://en.wikipedia.org/wiki/Asian_Junior_and_Cadet_Table_Tennis_Championships, 0, 0, 27
https://en.wikipedia.org/wiki/Latin_American_Table_Tennis_Cup, 0, 0, 23
https://en.wikipedia.org/wiki/North_American_Table_Tennis_Championships, 0, 0, 22
https://en.wikipedia.org/wiki/Speed_glue, 1, 5, 14
https://en.wikipedia.org/wiki/Michael_Maze, 0, 0, 20
